part_number,description,cost
SXWSWESECL0005,EC Hosting ES - 5 for Linux,37925.62
SXWSWECUP23010,EC Up fr 2.X - 10 or less ES,10339.51
SXWSWECUP23005,EC Up fr 2.X - 5 or less ES,5908.41
SXWSWECUP30010,EC Upgrade from 3.X for 10 or less ES,15906.62
SXWSWECUP34010,EC Upgrade from 3.X for 10 or less ES,12624.7
SXWSWECUP30005,EC Upgrade from 3.X for 5 or less ES,9320.77
SXWSWECUP34005,EC Upgrade from 3.X for 5 or less ES,7213.55
SXWSWECUP40010,EC Upgrade from 4.x with 10 or less ES,8539.25
SXWSWECUP40002,EC Upgrade from 4.x with 2 or less ES,5543.35
SXWSWECUP40005,EC Upgrade from 4.x with 5 or less ES,6559.1
SXWBTAECXX10001,eCommission BT Adapter,396.71
SXWSWEDIT00001,EDITORS 1USER NO MAINT,4730.77
AP13A000,"Elec, Prop, 0-10 VDC/4-20mAdc, SR, 24 VA",173.26
SXWSWECXX00010,Enterprise Central - 10,50660.44
SXWSWECLX00010,Enterprise Central - 10 for Linux,101922.32
SXWSWECLX00002,Enterprise Central - 2 for Linux,13589.65
SXWSWECXX00005,Enterprise Central - 5,29001.28
SXWSWECLX00005,Enterprise Central - 5 for Linux,40768.93
SXWSWECXX00002,Enterprise Central # 2,11774.19
SXWSWESXX00010,ENTERPRISE SERVER - 10,4955.45
SXWSWESLX00010,Enterprise Server - 10 for Linux,5565.72
SXWSWESXX00100,Enterprise Server - 100,14866.06
SXWSWESLX00100,Enterprise Server - 100 for Linux,16072.37
SXWSWESXX00250,Enterprise Server - 250,21200.35
SXWSWESLX00250,Enterprise Server - 250 for Linux,19819.51
SXWSWESXX00050,Enterprise Server - 50,8258.97
SXWSWESLX00050,Enterprise Server - 50 for Linux,10081.97
SXWSWNDES00010,ES Hosted Node Pack - 10,1757.22
SXWSWNDES00100,ES Hosted Node Pack - 100,5461.26
SXWSWNDES00025,ES Hosted Node Pack - 25,2500.05
SXWSWNDES00300,ES Hosted Node Pack - 300,12007.95
SXWSWNDES00005,ES Hosted Node Pack - 5,878.66
SXWSWNDES00050,ES Hosted Node Pack - 50,3707.65
SXWSWNDES00600,ES Hosted Node Pack - 600,17750.65
SXWSWASESL0001,ES Hosting AS - 1 for Linux,568.07
SXWSWASESL0010,ES Hosting AS - 10 for Linux,5892.17
SXWSWASES00050,ES Hosting AS - 50,5800.3
SXWSWASESL0050,ES Hosting AS - 50 for Linux,13162.29
SXWSWASES00001,ES Hosting AS Pack - 1,478.41
SXWSWASES00010,ES Hosting AS Pack - 10,4681.16
SXWSWNDESL0010,ES Hosting Field contrlr-10 for Linux,1997.9
SXWSWNDESL0100,ES Hosting Field contrlr-100 for Linux,11651.75
SXWSWNDESL0025,ES Hosting Field contrlr-25 for Linux,3596.23
SXWSWNDESL0300,ES Hosting Field contrlr-300 for Linux,20973.14
SXWSWNDESL0005,ES Hosting Field contrlr-5 for Linux,1109.95
SXWSWNDESL0050,ES Hosting Field contrlr-50 for Linux,6473.2
SXWSWNDESL0600,ES Hosting Field contrlr-600 for Linux,37751.64
SXWSWESUP13010,ES Up fr 1.X - 10 or less AS,1509.96
SXWSWESUP13100,ES Up fr 1.X - 100 or less AS,1509.96
SXWSWESUP13250,ES Up fr 1.X - 250 or less AS,1509.96
SXWSWESUP13050,ES Up fr 1.X - 50 or less AS,1509.96
SXWSWESUP23010,ES Up fr 2.X - 10 or less AS,886.4
SXWSWESUP23100,ES Up fr 2.X - 100 or less AS,1536.3
SXWSWESUP23250,ES Up fr 2.X - 250 or less AS,2100.9
SXWSWESUP23050,ES Up fr 2.X - 50 or less AS,1362.3
SXWSWESUP30010,ES Upgrade from 3.X with 10 or less AS,1298.98
SXWSWESUP34010,ES Upgrade from 3.X with 10 or less AS,1052.63
SXWSWESUP30100,ES Upgrade from 3.X with 100 or less AS,3006.7
SXWSWESUP34100,ES Upgrade from 3.X with 100 or less AS,2790.04
SXWSWESUP30250,ES Upgrade from 3.X with 250 or less AS,3866.98
SXWSWESUP34250,ES Upgrade from 3.X with 250 or less AS,3817.95
SXWSWESUP30050,ES Upgrade from 3.X with 50 or less AS,1841.47
SXWSWESUP34050,ES Upgrade from 3.X with 50 or less AS,1612.44
SXWSWESUP40010,ES Upgrade from 4.x with 10 or less AS,979.8
SXWSWESUP40100,ES Upgrade from 4.x with 100 or less AS,1808.66
SXWSWESUP40250,ES Upgrade from 4.x with 250 or less AS,2329.82
SXWSWESUP40050,ES Upgrade from 4.x with 50 or less AS,1499.95
805667005,"ESBE insert V5,4F100 valve",1270.89
SXWSWSCEXT0110,Extension - EVlink OCPP,6677.55
SXWSWSCEXT0020,Extension - Oracle Opera PMS,5335.35
SC3514E5045,FCU RELAY PK 5RO 1SO 4 INPUT,178.32
MP130-24F,FLOATING ACTUATOR 24 V,129.08
MP130-24F-10M,FLOATING ACTUATOR 24 V,154.81
MP130-230F,"FLOATING ACTUATOR, 230 V",137.65
MP130-230F-0,"Floating actuator, 230 V",137.65
MP130-24F-0,"Floating actuator, 24 V",129.08
MP130-24F-10M-0,"Floating actuator, 24 V",154.81
U001-0020,FLOW PROG CABLE W/CD,1276.16
U001-0149,FLOW PROG DATA CONV W/CABLE&CD,612.61
BGR-8SDI0D2N10-020,"FLOW SDI SS 12-36"" DI 4-20",4679.02
FST4A020,"Flow,US,Xdcr,> 2in Pipe/Tube,20ft Cbl",2592.74
8800125000,Forta M800-Danfoss adapter,112.33
8800118000,Forta M800-Landis&Gyr adapter,69.48
MP500C,FORTA MP500C ACTUATOR,406.48
MP500C-SRD,FORTA MP500C-SR CLOSED ACTUATOR,651.04
MP500C-SRU,FORTA MP500C-SR OPEN ACTUATOR,543.01
8800109000,FYH050 - Forta Yoke Heater,161.49
805098005,Gasket VTRE-F/UF -65 Spare,41.04
805099005,Gasket VTRE-F/UF 80-150 Spare,51.14
EBIOTPGW,"Gateway, Wireless, LTE, Eth, POE",1991.49
LSSMGLASS_C21802,GLASS PLATE FOR GLASS TOUCH PANEL,64.7
7213134000,GLB VLV 2-WAY FLGD V231/20/6.3,283.88
7213150000,GLB VLV 2-WAY FLGD V231/50/38,454.31
VG210R-25B,Globe Valve 2 Way DN25 Brass Kvs10,622.42
VG210R-40B,Globe Valve 2 Way DN40 Brass Kvs24,742.39
VG310R-15B05,Globe Valve 3 Way DN15 Brass Kvs1.6,166.86
VG310R-25B,Globe Valve 3 Way DN25 Brass Kvs10,203.86
VG310R-50B,Globe Valve 3 Way DN50 Brass Kvs35,351.92
5123310000,GROUND TEMPERATURE SENSOR,206.16
SXWREB4HVPD10001,High Power Relay Blind Module,581.83
SXWRESMI4HVPD10001,High voltage SMI Blind Module,696.74
6903515,HUMIDITY AND TEMP SENSOR (CONTINUUM),414.01
5123104010,IMMERSION SENSOR,48.07
5123174010,IMMERSION TEMP SENSOR,40.41
9121052000,IMMERSION WELL,31.55
SXWASBINS10001,Installer kit dummy unit,246.33
SXWIPIOAA10001,"IP-IO, 10 points, 10 Digital Inputs",652.7
SXWIPIOBA10001,"IP-IO, 10 points, 10 UIOb",313.03
SXWIPIOCA10001,"IP-IO, 9 points, 5 UIOb, 4 DOFA",699.78
SXWISORS48510001,Isolated RS485 Adapter,72.64
3240100000,I-Sw SL 135A Out1A@30VAC NO,74.39
3240202000,"I-Xdcr,SL,50/100/200A AC,4-20mA",112
9141021000,KH8 Universal damper crank arm,51.51
SXWREKNX10001,KNX interface module,449
9141063000,Linkage damper ZG-MD20,125.18
8800128000,Linkage Forta to M40 Controlli,49.24
8800126000,Linkage M700-Satchwell L7SV,397.87
8800124000,Linkage2 Forta-Satchwell L2SV,246.46
SER8350A0B11,LNV FCU BN RH WHT WHT,376.31
SXWREB2LVPD10001,Low Power Relay Blind Module,581.83
SXWRESMI2LVPD10001,Low voltage SMI Blind Module,696.74
8800133000,M10 to M8 Forta adapter,105.36
8800134000,M16 Hex Bush,105.36
MB3-SC-24M,MB3 SRC-24M T31 00,287.17
MB3-24F,MB3-24F T31 00,137.9
MD10SR-T,MD10 SR-24/230T 1M 5400,335.66
MD10SR-TS,MD10 SR-24/230TS 1M 5400,407.79
MD10SR-24M,MD10 SR-24M 1M 5400,397.27
MD10SR-24T,MD10 SR-24T 1M 5400,320.37
MD10SR-24TS,MD10 SR-24TS 1M 5400,365.48
MD20SR-24M,MD20 SR-24M 1M 5400,452.73
MD20SR-24T,MD20 SR-24T 1M 5400,294.64
MD20SR-24TS,MD20 SR-24TS 1M 5400,413.04
KDC55F,"Meter,Deluxe,Cool,DN100,qp:100,flow",5031.52
KDC55R,"Meter,Deluxe,Cool,DN100,qp:100,ret",5031.52
KDC50F,"Meter,Deluxe,Cool,DN100,qp:60,flow",4423.83
KDC50R,"Meter,Deluxe,Cool,DN100,qp:60,ret",4423.83
KDC60F,"Meter,Deluxe,Cool,DN150,qp:150,flow",7349.86
KDC60R,"Meter,Deluxe,Cool,DN150,qp:150,ret",7349.86
KDC65F,"Meter,Deluxe,Cool,DN150,qp:250,flow",8220.02
KDC65R,"Meter,Deluxe,Cool,DN150,qp:250,ret",8220.02
KDC20F,"Meter,Deluxe,Cool,DN25,qp:6,flow",1939.7
KDC20R,"Meter,Deluxe,Cool,DN25,qp:6,ret",1939.7
KDC30F,"Meter,Deluxe,Cool,DN40,qp:10,flow",2263.28
KDC30R,"Meter,Deluxe,Cool,DN40,qp:10,ret",2263.28
KDC35F,"Meter,Deluxe,Cool,DN50,qp:15,flow",2701.25
KDC35R,"Meter,Deluxe,Cool,DN50,qp:15,ret",2701.25
KDC40F,"Meter,Deluxe,Cool,DN65,qp:25,flow",2926.22
KDC40R,"Meter,Deluxe,Cool,DN65,qp:25,ret",2926.22
KDC45F,"Meter,Deluxe,Cool,DN80,qp:40,flow",3330.71
KDC45R,"Meter,Deluxe,Cool,DN80,qp:40,ret",3330.71
KDC00F,"Meter,Deluxe,Cool,R�,qp:1.5,flow",1126.77
KDC00R,"Meter,Deluxe,Cool,R�,qp:1.5,ret",1126.77
KDC05F,"Meter,Deluxe,Cool,R�,qp:2.5,flow",1237.21
KDC05R,"Meter,Deluxe,Cool,R�,qp:2.5,ret",1237.21
KDC10F,"Meter,Deluxe,Cool,R1,qp:3.5,flow",1568.71
KDC10R,"Meter,Deluxe,Cool,R1,qp:3.5,ret",1568.71
KDC15F,"Meter,Deluxe,Cool,R1,qp:6,flow",1575.91
KDC15R,"Meter,Deluxe,Cool,R1,qp:6,ret",1575.91
KDC25F,"Meter,Deluxe,Cool,R1�,qp:10,flow",2048.84
KDC25R,"Meter,Deluxe,Cool,R1�,qp:10,ret",2048.84
KDF55F,"Meter,Deluxe,Flow,DN100,qp:100,flow",4832.24
KDF55R,"Meter,Deluxe,Flow,DN100,qp:100,ret",4832.24
KDF50F,"Meter,Deluxe,Flow,DN100,qp:60,flow",4224.58
KDF50R,"Meter,Deluxe,Flow,DN100,qp:60,ret",4224.57
KDF60F,"Meter,Deluxe,Flow,DN150,qp:150,flow",7150.56
KDF60R,"Meter,Deluxe,Flow,DN150,qp:150,ret",7150.56
KDF65F,"Meter,Deluxe,Flow,DN150,qp:250,flow",8020.83
KDF65R,"Meter,Deluxe,Flow,DN150,qp:250,ret",8020.82
KDF20F,"Meter,Deluxe,Flow,DN25,qp:6,flow",1809.48
KDF20R,"Meter,Deluxe,Flow,DN25,qp:6,ret",1809.48
KDF30F,"Meter,Deluxe,Flow,DN40,qp:10,flow",2133.15
KDF30R,"Meter,Deluxe,Flow,DN40,qp:10,ret",2133.15
KDF35F,"Meter,Deluxe,Flow,DN50,qp:15,flow",2571.13
KDF35R,"Meter,Deluxe,Flow,DN50,qp:15,ret",2571.12
KDF40F,"Meter,Deluxe,Flow,DN65,qp:25,flow",2795.94
KDF40R,"Meter,Deluxe,Flow,DN65,qp:25,ret",2795.94
KDF45F,"Meter,Deluxe,Flow,DN80,qp:40,flow",3200.46
KDF45R,"Meter,Deluxe,Flow,DN80,qp:40,ret",3200.45
KDF00F,"Meter,Deluxe,Flow,R�,qp:1.5,flow",1126.92
KDF00R,"Meter,Deluxe,Flow,R�,qp:1.5,ret",1126.92
KDF05F,"Meter,Deluxe,Flow,R�,qp:2.5,flow",1118.91
KDF05R,"Meter,Deluxe,Flow,R�,qp:2.5,ret",1118.91
KDF10F,"Meter,Deluxe,Flow,R1,qp:3.5,flow",1450.45
KDF10R,"Meter,Deluxe,Flow,R1,qp:3.5,ret",1450.45
KDF15F,"Meter,Deluxe,Flow,R1,qp:6,flow",1525.34
KDF15R,"Meter,Deluxe,Flow,R1,qp:6,ret",1525.34
KDF25F,"Meter,Deluxe,Flow,R1�,qp:10,flow",1929.81
KDF25R,"Meter,Deluxe,Flow,R1�,qp:10,ret",1929.81
KDH55F,"Meter,Deluxe,Heat,DN100,qp:100,flow",4932.9
KDH55R,"Meter,Deluxe,Heat,DN100,qp:100,ret",4932.9
KDH50F,"Meter,Deluxe,Heat,DN100,qp:60,flow",4325.13
KDH50R,"Meter,Deluxe,Heat,DN100,qp:60,ret",4325.13
KDH60F,"Meter,Deluxe,Heat,DN150,qp:150,flow",7280.81
KDH60R,"Meter,Deluxe,Heat,DN150,qp:150,ret",7280.81
KDH65F,"Meter,Deluxe,Heat,DN150,qp:250,flow",8150.88
KDH65R,"Meter,Deluxe,Heat,DN150,qp:250,ret",8150.88
KDH20F,"Meter,Deluxe,Heat,DN25,qp:6,flow",1839.12
KDH20R,"Meter,Deluxe,Heat,DN25,qp:6,ret",1839.12
KDH30F,"Meter,Deluxe,Heat,DN40,qp:10,flow",2164.69
KDH30R,"Meter,Deluxe,Heat,DN40,qp:10,ret",2164.69
KDH35F,"Meter,Deluxe,Heat,DN50,qp:15,flow",2602.66
KDH35R,"Meter,Deluxe,Heat,DN50,qp:15,ret",2602.66
KDH40F,"Meter,Deluxe,Heat,DN65,qp:25,flow",2827.54
KDH40R,"Meter,Deluxe,Heat,DN65,qp:25,ret",2827.54
KDH45F,"Meter,Deluxe,Heat,DN80,qp:40,flow",3232.03
KDH45R,"Meter,Deluxe,Heat,DN80,qp:40,ret",3232.03
KDH00F,"Meter,Deluxe,Heat,R�,qp:1.5,flow",1026.17
KDH00R,"Meter,Deluxe,Heat,R�,qp:1.5,ret",1026.17
KDH05F,"Meter,Deluxe,Heat,R�,qp:2.5,flow",1138.67
KDH05R,"Meter,Deluxe,Heat,R�,qp:2.5,ret",1138.67
KDH10F,"Meter,Deluxe,Heat,R1,qp:3.5,flow",1470.13
KDH10R,"Meter,Deluxe,Heat,R1,qp:3.5,ret",1470.13
KDH15F,"Meter,Deluxe,Heat,R1,qp:6,flow",1545.12
KDH15R,"Meter,Deluxe,Heat,R1,qp:6,ret",1545.12
KDH25F,"Meter,Deluxe,Heat,R1�,qp:10,flow",1945.62
KDH25R,"Meter,Deluxe,Heat,R1�,qp:10,ret",1945.62
KDK55F,"Meter,Deluxe,Heat/Cool,DN100,qp:100,flow",5031.52
KDK55R,"Meter,Deluxe,Heat/Cool,DN100,qp:100,ret",5031.52
KDK50F,"Meter,Deluxe,Heat/Cool,DN100,qp:60,flow",4423.83
KDK50R,"Meter,Deluxe,Heat/Cool,DN100,qp:60,ret",4423.83
KDK60F,"Meter,Deluxe,Heat/Cool,DN150,qp:150,flow",7349.87
KDK60R,"Meter,Deluxe,Heat/Cool,DN150,qp:150,ret",7349.86
KDK65F,"Meter,Deluxe,Heat/Cool,DN150,qp:250,flow",8220.02
KDK65R,"Meter,Deluxe,Heat/Cool,DN150,qp:250,ret",8220.02
KDK20F,"Meter,Deluxe,Heat/Cool,DN25,qp:6,flow",1939.7
KDK20R,"Meter,Deluxe,Heat/Cool,DN25,qp:6,ret",1939.7
KDK30F,"Meter,Deluxe,Heat/Cool,DN40,qp:10,flow",2263.28
KDK30R,"Meter,Deluxe,Heat/Cool,DN40,qp:10,ret",2263.28
KDK35F,"Meter,Deluxe,Heat/Cool,DN50,qp:15,flow",2701.25
KDK35R,"Meter,Deluxe,Heat/Cool,DN50,qp:15,ret",2701.25
KDK40F,"Meter,Deluxe,Heat/Cool,DN65,qp:25,flow",2926.23
KDK40R,"Meter,Deluxe,Heat/Cool,DN65,qp:25,ret",2926.22
KDK45F,"Meter,Deluxe,Heat/Cool,DN80,qp:40,flow",3330.71
KDK45R,"Meter,Deluxe,Heat/Cool,DN80,qp:40,ret",3330.71
KDK00F,"Meter,Deluxe,Heat/Cool,R�,qp:1.5,flow",1126.77
KDK00R,"Meter,Deluxe,Heat/Cool,R�,qp:1.5,ret",1126.77
KDK05F,"Meter,Deluxe,Heat/Cool,R�,qp:2.5,flow",1237.21
KDK05R,"Meter,Deluxe,Heat/Cool,R�,qp:2.5,ret",1237.21
KDK10F,"Meter,Deluxe,Heat/Cool,R1,qp:3.5,flow",1568.71
KDK10R,"Meter,Deluxe,Heat/Cool,R1,qp:3.5,ret",1568.71
KDK15F,"Meter,Deluxe,Heat/Cool,R1,qp:6,flow",1575.91
KDK15R,"Meter,Deluxe,Heat/Cool,R1,qp:6,ret",1575.91
KDK25F,"Meter,Deluxe,Heat/Cool,R1�,qp:10,flow",2048.84
KDK25R,"Meter,Deluxe,Heat/Cool,R1�,qp:10,ret",2048.84
KEC20F,"Meter,Eco,Cool,DN25,qp:6,flow",1849.06
KEC20R,"Meter,Eco,Cool,DN25,qp:6,ret",1849.06
KEC30F,"Meter,Eco,Cool,DN40,qp:10,flow",2111.3
KEC30R,"Meter,Eco,Cool,DN40,qp:10,ret",2111.3
KEC35F,"Meter,Eco,Cool,DN50,qp:15,flow",2601.15
KEC35R,"Meter,Eco,Cool,DN50,qp:15,ret",2601.15
KEC00F,"Meter,Eco,Cool,R�,qp:1.5,flow",921.87
KEC00R,"Meter,Eco,Cool,R�,qp:1.5,ret",921.87
KEC05F,"Meter,Eco,Cool,R�,qp:2.5,flow",1000.68
KEC05R,"Meter,Eco,Cool,R�,qp:2.5,ret",1000.68
KEC10F,"Meter,Eco,Cool,R1,qp:3.5,flow",1301.21
KEC10R,"Meter,Eco,Cool,R1,qp:3.5,ret",1301.21
KEC15F,"Meter,Eco,Cool,R1,qp:6,flow",1301.21
KEC15R,"Meter,Eco,Cool,R1,qp:6,ret",1301.21
KEC25F,"Meter,Eco,Cool,R1�,qp:10,flow",1670.29
KEC25R,"Meter,Eco,Cool,R1�,qp:10,ret",1670.29
KEF20F,"Meter,Eco,Flow,DN25,qp:6,flow",1695.9
KEF20R,"Meter,Eco,Flow,DN25,qp:6,ret",1695.9
KEF30F,"Meter,Eco,Flow,DN40,qp:10,flow",1958.16
KEF30R,"Meter,Eco,Flow,DN40,qp:10,ret",1958.16
KEF35F,"Meter,Eco,Flow,DN50,qp:15,flow",2447.96
KEF35R,"Meter,Eco,Flow,DN50,qp:15,ret",2447.96
KEF00F,"Meter,Eco,Flow,R�,qp:1.5,flow",817.23
KEF00R,"Meter,Eco,Flow,R�,qp:1.5,ret",817.23
KEF05F,"Meter,Eco,Flow,R�,qp:2.5,flow",847.33
KEF05R,"Meter,Eco,Flow,R�,qp:2.5,ret",847.33
KEF10F,"Meter,Eco,Flow,R1,qp:3.5,flow",1148.04
KEF10R,"Meter,Eco,Flow,R1,qp:3.5,ret",1148.04
KEF15F,"Meter,Eco,Flow,R1,qp:6,flow",1148.04
KEF15R,"Meter,Eco,Flow,R1,qp:6,ret",1148.04
KEF25F,"Meter,Eco,Flow,R1�,qp:10,flow",1517.19
KEF25R,"Meter,Eco,Flow,R1�,qp:10,ret",1517.19
KEH20F,"Meter,Eco,Heat,DN25,qp:6,flow",1849.06
KEH20R,"Meter,Eco,Heat,DN25,qp:6,ret",1849.06
KEH30F,"Meter,Eco,Heat,DN40,qp:10,flow",2111.3
KEH30R,"Meter,Eco,Heat,DN40,qp:10,ret",2111.3
KEH35F,"Meter,Eco,Heat,DN50,qp:15,flow",2601.15
KEH35R,"Meter,Eco,Heat,DN50,qp:15,ret",2601.15
KEH00F,"Meter,Eco,Heat,R�,qp:1.5,flow",902.1
KEH00R,"Meter,Eco,Heat,R�,qp:1.5,ret",902.1
KEH05F,"Meter,Eco,Heat,R�,qp:2.5,flow",979.72
KEH05R,"Meter,Eco,Heat,R�,qp:2.5,ret",979.72
KEH10F,"Meter,Eco,Heat,R1,qp:3.5,flow",1229.26
KEH10R,"Meter,Eco,Heat,R1,qp:3.5,ret",1229.26
KEH15F,"Meter,Eco,Heat,R1,qp:6,flow",1301.21
KEH15R,"Meter,Eco,Heat,R1,qp:6,ret",1301.21
KEH25F,"Meter,Eco,Heat,R1�,qp:10,flow",1821.2
KEH25R,"Meter,Eco,Heat,R1�,qp:10,ret",1821.2
KEK20F,"Meter,Eco,Heat/Cool,DN25,qp:6,flow",1849.06
KEK20R,"Meter,Eco,Heat/Cool,DN25,qp:6,ret",1849.06
KEK30F,"Meter,Eco,Heat/Cool,DN40,qp:10,flow",2111.3
KEK30R,"Meter,Eco,Heat/Cool,DN40,qp:10,ret",2111.3
KEK35F,"Meter,Eco,Heat/Cool,DN50,qp:15,flow",2601.15
KEK35R,"Meter,Eco,Heat/Cool,DN50,qp:15,ret",2601.15
KEK00F,"Meter,Eco,Heat/Cool,R�,qp:1.5,flow",902.1
KEK00R,"Meter,Eco,Heat/Cool,R�,qp:1.5,ret",902.1
KEK05F,"Meter,Eco,Heat/Cool,R�,qp:2.5,flow",979.72
KEK05R,"Meter,Eco,Heat/Cool,R�,qp:2.5,ret",979.72
KEK10F,"Meter,Eco,Heat/Cool,R1,qp:3.5,flow",1229.26
KEK10R,"Meter,Eco,Heat/Cool,R1,qp:3.5,ret",1229.26
KEK15F,"Meter,Eco,Heat/Cool,R1,qp:6,flow",1301.21
KEK15R,"Meter,Eco,Heat/Cool,R1,qp:6,ret",1301.21
KEK25F,"Meter,Eco,Heat/Cool,R1�,qp:10,flow",1821.2
KEK25R,"Meter,Eco,Heat/Cool,R1�,qp:10,ret",1821.2
MF20-230F,MF20-230F T54 00,535.57
MF20-230F-R,MF20-230F T54 R0 (MB.. retrofi,638.63
MF20-24L,MF20-230L 1M54 00,1155.8
MF20-24F,MF20-24F T54 00,535.57
MF20-24F-R,MF20-24F T54 R0 (MB.. retrofit,638.63
MF20-24M,MF20-24M T54 00,716.23
MF20-24M-R,MF20-24M T54 R0 (MB.. retrofit,819.34
MF20SR-TS,MF20SR-24/230TS 1M54 00,988.26
MF20SR-24M,MF20SR-24M 1M54 00,972.09
MF40-230F,MF40-230F T54 00,795.98
MF40-24F,MF40-24F T54 00,795.98
MF40-24L,MF40-24L 1M54 00,1359.05
MF40-24M,MF40-24M T54 00,1010.86
MF40ER-24M,MF40ER-24M 1M54 00,1567.62
MF40ER-24T,MF40ER-24T 1M54 00,1337.62
SXWSWX000MBRTU,Modbus RTU - SpaceLogic AS-P Server,195.06
8600991000,MOUNTING KIT EM-9-TRV (8600991,82.62
8600990000,MOUNTING KIT EM-9-VTRA (860099,78.98
SXWMPC15A10001,MP-C 15 POINTS 8 UIOB 6 DO TRIACS 1 HP,706
SXWMPC18A10001,MP-C 18 POINTS 10 UIOB 4 DO TRIACS 3SPST,881.5
SXWMPC18B10001,MP-C 18 POINTS 10 UIOB 8 DO TRIACS,834
SXWMPC24A10001,MP-C 24 POINTS 4 UIOC 4 FORM 16 UIOB,1059.2
SXWMPC36A10001,MP-C 36 POINTS 8 UIOC 8 FORM 20 UIOB,1184.88
SXWMPCDSP10001,MP-C OVERRIDE DISPLAY MODULE,255.36
SXWMPC24AM10001,MP-C-24A-M CONTROLLER,890.7
SXWMPC36AM10001,MP-C-36A-M CONTROLLER,980.32
SXWMPV7AX10001,MP-V 7 POINTS 3 UI 3 DO TRIAC 1 AO,741.93
SXWMPV9AX10001,MP-V 9 POINTS 4 UI 3 DO TRIAC 2 AO,797.93
SXWMPV7AX10002,MP-V-7A BACnet/IP/MSTP CONTROLLER,741.93
SXWMPV9AX10002,MP-V-9A BACnet/IP/MSTP CONTROLLER,797.93
SXWSWMQTTSRW01,MQTT Publish ES,3251.05
SXWSWMQTTXRW01,MQTT Publish SmartX,433.61
SXWHIO8DIDO10001,Multi I/O Module,147.13
SXWREMSBLE10001,Multi- Sensor,323.33
MP2000,MULTI-SIGNAL ACTUATOR 24V,1176.51
MP4000,MULTI-SIGNAL ACTUATOR 24V,3160.78
MP2000-0,"Multi-signal actuator, 24V",1176.51
MP4000-0,"Multi-signal actuator, 24V",2873.44
MZ140-24M,MZ140-24M 2M44 00,107.7
MZ140-24T,MZ140-24T 2M44 00,43.3
MZ140-230T,MZ14-230T 2M44 00,42.23
MP120NC-24T,N.CLOSED THERMAL ACTUATOR,21.46
MP120NC-230T,N.CLOSED THERMAL ACTUATOR 230V,22.84
SXWNISORS48510001,Non-Isolated RS485 Adapter,24.55
SXWNISORS485P10001,Non-Isolated RS485 and Power Adapter,43.97
FLO-QSE05BSP09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE05NPT09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE07BSP09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE07NPT09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE10BSP09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE10NPT09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE15BSP09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE15NPT09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE20BSP09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE20NPT09Q11A,"Noryl, Mag BTU Flow meter, Display, Modb",5041.97
FLO-QSE30FAP09Q12B,"Noryl, Mag BTU Flow meter, Display, Modb",5798.94
FLO-QSE40FAP09Q12C,"Noryl, Mag BTU Flow meter, Display, Modb",5798.94
FLO-QSE05BSPQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE05NPTQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE07BSPQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE07NPTQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE10BSPQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE10NPTQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE15BSPQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE15NPTQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE20BSPQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE20NPTQBQ11A,"Noryl, Mag BTU Flow meter, Modbus + puls",4587.67
FLO-QSE30FAPQBQ12B,"Noryl, Mag BTU Flow meter, Modbus + puls",5344.79
FLO-QSE40FAPQBQ12C,"Noryl, Mag BTU Flow meter, Modbus + puls",5344.79
FLO-QSE30FAP09Q3XB,"Noryl, Mag Flow meter, Display , pulse +",4353.02
FLO-QSE05BSP09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE05NPT09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE07BSP09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE07NPT09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE10BSP09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE10NPT09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
